query,event
What is the date and time of the SSN Trophy?,SSN Trophy
Where is the SSN Trophy being held?,SSN Trophy
Is there a conflict with my schedule for the SSN Trophy?,SSN Trophy
"4th March 2025, 08:30 am, GD Room, New First Year Block (CSE annexe) - RSVP status-related queries",The SSN Best Speaker Contest
"4th March 2025, 08:30 am, GD Room, New First Year Block (CSE annexe) - Scheduling or setting reminders for the event",The SSN Best Speaker Contest
"4th March 2025, 08:30 am, GD Room, New First Year Block (CSE annexe) - Modifying, moving, or cancelling the event",The SSN Best Speaker Contest
What time is the Science Exhibition on 10th March 2025?,Science Exhibition
Where is the Science Exhibition on 10th March 2025?,Science Exhibition
Is there a Science Exhibition on 10th March 2025?,Science Exhibition
"Can I change the date of the submission event on 28th February 2025, 10:00 AM at the library?",submission
How do I set up a recurring submission event every month on the 28th at 10:00 AM in the library?,submission
"Can you send me an email reminder for the submission event on 28th February 2025, 10:00 AM at the library?",submission
"15th March 2025, 10:00 AM, school playground - Sports Meet",Annual Sports Meet
How often does the Sports Meet happen?,Annual Sports Meet
Can I share the Sports Meet details with my friends?,Annual Sports Meet
How do I move the FOSS Hack event to the 3rd of January?,FOSS Hack
Can you remind me to bring my laptop to the FOSS Hack event on the 2nd of January?,FOSS Hack
How do I cancel the FOSS Hack event on the 2nd of January?,FOSS Hack
What is the date and time of the submissions event?,submissions
Can I set a reminder for the submissions event?,submissions
Who is the venue for the submissions event?,submissions
"What time is Independence Day on August 15th, 2025?",Independence Day
"Where is the Independence Day event happening on August 15th, 2025?",Independence Day
"Can I get a reminder for the Independence Day event on August 15th, 2025?",Independence Day
"10th March 2025, 10:00 AM Blood Donation Camp - Venue",Blood Donation Camp
"Send out invites for Blood Donation Camp on 10th March 2025, 10:00 AM",Blood Donation Camp
"Reminder for Blood Donation Camp on 10th March 2025, 10:00 AM",Blood Donation Camp
What time is the Mega ICT Quiz on 22nd Feb 2025?,Mega ICT Quiz
Is there any other event happening at IEEE Madras Geography on 22nd Feb 2025?,Mega ICT Quiz
Can I get a reminder for the Mega ICT Quiz on 22nd Feb 2025?,Mega ICT Quiz
"20th February 2025, 10:30 AM - Public Sector Innovation Challenge - Venue: Nil",Public Sector Innovation Challenge
What time is the Public Sector Innovation Challenge on 20th February 2025?,Public Sector Innovation Challenge
Where is the Public Sector Innovation Challenge happening on 20th February 2025?,Public Sector Innovation Challenge
Can you remind me about the Public Sector Innovation Challenge on 20th February 2025 at 10:30 AM?,Public Sector Innovation Challenge
Can you send me an email about the Public Sector Innovation Challenge on 20th February 2025 at 10:30 AM?,Public Sector Innovation Challenge
Can you move the Public Sector Innovation Challenge from 10:30 AM to a different time on 20th February 2025?,Public Sector Innovation Challenge
Can you cancel the Public Sector Innovation Challenge on 20th February 2025 at 10:30 AM?,Public Sector Innovation Challenge
Can you provide me with more information about the Public Sector Innovation Challenge on 20th February 2025 at 10:30 AM?,Public Sector Innovation Challenge
Can you help me find out who is organizing the Public Sector Innovation Challenge on 20th February 2025 at 10:30 AM?,Public Sector Innovation Challenge
Can you give me a list of all the speakers at the Public Sector Innovation Challenge on 20th February 2025 at 10:30 AM?,Public Sector Innovation Challenge
What time is Mela'25?,Mela'25
Is there a conflict with my meeting on April 25th at 9:30 AM?,Mela'25
Can I invite my friends to Mela'25?,Mela'25
"12th March 2025, 10:00 AM, seminar hall - Invite",Debate competition
"12th March 2025, 10:00 AM, seminar hall - Conflict",Debate competition
"12th March 2025, 10:00 AM, seminar hall - Info",Debate competition
"How do I send out invites for the event ""From Pixels to Vision Models"" on 16th February 2025, 2:00 PM at CSE Seminar Hall?",From Pixels to Vision Models
"Can you help me manage recurring events? How do I set up a reminder for the event ""From Pixels to Vision Models"" on 16th February 2025, 2:00 PM at CSE Seminar Hall?",From Pixels to Vision Models
"How do I modify the event ""From Pixels to Vision Models"" on 16th February 2025, 2:00 PM at CSE Seminar Hall? Can I change the date or time?",From Pixels to Vision Models
"28th March 2025, 10:00 AM, National Workshop on ""Fundamentals of Machine Learning and Deep Learning""",Two-Day National Workshop on "Fundamentals of Machine Learning and Deep Learning"
"RSVP status for the 28th March 2025, 10:00 AM, National Workshop on ""Fundamentals of Machine Learning and Deep Learning""",Two-Day National Workshop on "Fundamentals of Machine Learning and Deep Learning"
"Modify the 28th March 2025, 10:00 AM, National Workshop on ""Fundamentals of Machine Learning and Deep Learning"" to a different venue.",Two-Day National Workshop on "Fundamentals of Machine Learning and Deep Learning"
What time is the meeting with first-year student representatives on 9th February 2025?,meeting the first-year student representatives
Where is the meeting with first-year student representatives on 9th February 2025?,meeting the first-year student representatives
Can I send out invites for the meeting with first-year student representatives on 9th February 2025?,meeting the first-year student representatives
Can I set a reminder for Radioverse: Hardware Project Expo on 16th February 2025 at 11:00 AM?,"Radioverse: Hardware Project Expo,"
Is there a recurring event for Radioverse: Hardware Project Expo?,"Radioverse: Hardware Project Expo,"
Are there any scheduling conflicts with Radioverse: Hardware Project Expo on 16th February 2025 at 11:00 AM?,"Radioverse: Hardware Project Expo,"
"Is there anything happening on March 8th, 2025 at 10:00 AM?",ENCENDER - A Project Expo
Can you tell me more about the ENCENDER - A Project Expo event?,ENCENDER - A Project Expo
How do I manage recurring events like ENCENDER - A Project Expo?,ENCENDER - A Project Expo
What time is the General Announcement on 21st February 2025?,General Announcement
Where is the General Announcement happening on 21st February 2025?,General Announcement
Who is invited to the General Announcement on 21st February 2025?,General Announcement
What time is the Guest Lecture on Robotics?,Guest Lecture on Robotics
Can I set a reminder for the Guest Lecture on Robotics?,Guest Lecture on Robotics
Is the Guest Lecture on Robotics a recurring event?,Guest Lecture on Robotics
How often is the Kollywood Quiz held?,Kollywood Quiz
What time is the Kollywood Quiz on 18th March 2025?,Kollywood Quiz
Is there a conflict with any other event on 18th March 2025 at 12:30 PM?,Kollywood Quiz
"11 March 2026, 10:00 AM, Research Block - Intercollegiate Business Plan Competition: Ideas That Matter",Intercollegiate Business Plan Competition: Ideas That Matter
