Query,label
show email january th 2023,0
what email did get christmas day,0
find messages received march,0
show email he@company.com,0
look email dated february st,0
search email sent new years eve,0
show email received first monday month,0
fetch email arrived april 22,0
what did receive halloween,0
list email last dial,0
pull email july th,0
find email march may,0
show messages received last monday today,0
fetch email first week june,0
get email received past quarter,0
display messages summer 2021,0
retrieve email august st august,0
what email came qu 2022,0
list messages first half 2023,0
search email april 2020 december 2020,0
show messages last two months,0
what email came yesterday,0
show messages morning,0
find email earlier today,0
display email got last weekend,0
fetch email past week,0
retrieve email received afternoon,0
what came weekend,0
list email month,0
get yesterdays unreal messages,0
new email past hour,0
find messages sent into@newsletter.org,0
look email updated@linked.com,0
what did reply@github.com send,0
fetch messages amazonorders@amazon.com,0
search email contact@open.com,0
get email press@times.com,0
display messages support@room.us,0
show messages admit@college.ed,0
retrieve email sent finance@started.net,0
find email people @microsoft.com,0
show messages sent @email.com addresses,0
list email @stanford.ed,0
fetch messages @company.org domain,0
what did get @facebookmail.com,0
show email @go.in,0
retrieve email sent @airbnb.com,0
look @salesforce.com email messages,0
display email @deposit.com user,0
show messages senders @course.org,0
search email mon,0
show email got ran,0
retrieve messages manager,0
what email did jenny send,0
display email accountant,0
show messages co,0
fetch email professor,0
find messages sent mike last week,0
look email recruited,0
get email enter,0
find email subject line voice,0
show email title team meeting,0
what messages have urgent subject,0
look email interview schedule subject,0
search email title travel itinerant,0
retrieve offer letter subject line email,0
show email subject job application,0
get email title weekly digest,0
pull messages feedback request subject,0
find email labelled final submission,0
find email mention login issue,0
search email talking product launch,0
show messages contain voice amount,0
what email include server downtime,0
look messages mentioning trip london,0
fetch email containing word roadway,0
retrieve email urgent update body,0
display messages say next steps,0
search data breach email,0
find email talking budget approval,0
show email attachments,0
find email include file,0
display messages attached documents,0
fetch email downloadable content,0
retrieve messages contain attachments,0
get email have least one file attached,0
search email attached pus images,0
list messages kind attachment,0
pull email include spreadsheets,0
show email attached code files,0
find email files,0
show email expel attachments,0
retrieve email .dock files,0
get messages attached images,0
display messages contain zip files,0
search email audit file attachments,0
look email attached presentations,0
fetch email include may files,0
pull email attachments,0
show messages powerpoint sides,0
find email attachments larger mb,0
show messages huge files,0
search email containing video large images,0
retrieve email highresolution attachments,0
display messages took long download,0
pull email big file sizes,0
look email oversized attachments,0
get email multimegabyte documents,0
list email file size limb,0
show large email conversations files,0
find email labelled finance,0
show messages ragged work,0
search email marked urgent,0
display email labelled family,0
get email ragged pending,0
retrieve messages marked review,0
pull personal label messages,0
find email ragged archive projects,0
look messages clients label,0
show email marked followup tag,0
show unreal email,0
find messages havent opened,0
get read email,0
display messages already checked,0
list unreal email week,0
retrieve read messages last friday,0
search unreal email attachments,0
show unreal messages ran,0
get read email labelled important,0
find unopened email month,0
show messages promotions tax,0
find email social older,0
look messages trash,0
get email sent older,0
display messages drafts,0
fetch email spasm older,0
retrieve messages,0
whats updated tax,0
search email archive older,0
pull messages started tax,0
show high priority email,0
find messages marked important,0
get email flagged automatically,0
display critical messages boss,0
retrieve messages marked,0
search email ragged high urgency,0
look top priority email,0
pull important messages week,0
show highimportance flagged email,0
fetch messages prioritized email,0
find email replied,0
show forwarded messages,0
search messages never responded,0
display conversations ignored,0
get email composed didnt send,0
fetch replies last message,0
show followup responses sent,0
look email archive,0
find messages stooped,0
list email bounded back,0
show email calendar invites,0
find email coming meetings,0
search messages containing room links,0
retrieve event invitations,0
get email related webinars,0
display rives received,0
look messages goose meet links,0
show messages conference calls,0
list email schelling,0
pull messages tied event confirmation,0
find email attachments,0
show unreal messages,0
search email sarah project proposal,0
find messages subject line quarterly report,0
show email ive received marketing@company.com,0
find email large attachments,0
search email started last week,0
show email promotions tax,0
find messages label urgent,0
email boss,0
show email sent john.doe@example.com,0
find messages where support@company.net c,0
email sent sales team last month,0
who did email budget,0
email received yesterday,0
show email june 2024,0
find email sent monday,0
messages last 7 days,0
oldest email,0
search meeting agenda,0
email containing word urgent,0
find messages subject line voice,0
show email mention performance review,0
search drafts marketing campaign ideas,0
email .dock attachments,0
find messages have one attachment,0
show email images,0
email attachments larger mb,0
search email dont have attachments,0
show unreal email,0
mark read,0
find read messages today,0
show oldest unreal email,0
count unreal messages,0
email travel label,0
show everything archive older,0
find email social tax,0
messages labelled important,0
show email older,0
show started email,0
find flagged messages,0
email marked important,0
show email havent started yet,0
flag messages,0
show email marked high priority,0
find email have reply,0
show forwarded email,0
email read receipt requested,0
find email drafts,0
mark important,0
move project x older,0
delete email,0
show email daily news failing list,0
find newsletters receive technology,0
list email sent marketing weekly month,0
search messages open source updated,0
show email photography tips,0
find email listsubscribe header,0
search email recipeupdated@foodblog.com,0
show latest email university calumny list,0
find email look like automatic announcements,0
list email categories bulk failing list,0
show techcrunch newsletter,0
find latest issue guardian weekly newsletter,0
search email newsletter subject last month,0
list email designdigest@example.com,0
show newsletters ive saved reading older,0
find newsletters ai,0
search email mention subscribe,0
show newsletters receive daily,0
find newsletters authors follow,0
list email have issue volume subject known sources,0
show promotion email clothing bands,0
find discount offers restaurant,0
list email categories promotions offers,0
search email subjects like sale limited time offer,0
show email retainers ive purchased,0
find email containing words like discount code coupon,0
list email airline hotels special deals,0
search email imageheavy content look like advertisements,0
show email havent opened promotions tax,0
find email companies asking shop,0
show email where address c list,0
find email where carbon copied,0
list email include c field,0
search email where field c,0
show email where secondary recipient,0
find email where copied message,0
list email where email address appears c,0
search email where included information purposes,0
show email where see recipients c field,0
find email where courtesy copy recipient,0
show email where address bc list,0
find email where blind carbon copied,0
list email include bc field,0
search email where c field,0
show email where hidden recipient,0
find email where secretly copied message,0
list email where email address appears bc,0
search email where recipients visible,0
show email where suspect bced,0
find email where field doesnt directly address group im part content relevant,0
find email where primary recipient one.,0
show email co havent replied to.,0
search email sent specific distribution list.,0
email where tenders domain different name.,0
find email where tenders job title manager.,0
show email external senders mention contract.,0
search email someone havent remained last 6 months.,0
email where last person reply.,0
find email sent someone urgent job title.,0
show email specific person another specific person.,0
search email where tenders name similar john exactly.,0
email where recipients email address contains sales.,0
find email where tender contact.,0
show email senders whose names start a.,0
search email where im field someone else c.,0
email where tender specific image signature.,0
find email people who have remained 10 times year.,0
show email senders specific social media link signature.,0
search email where tenders company mentioned email body.,0
email senders who have word director title.,0
find email where im recipient.,0
show email tender whose email address contains number.,0
search email tender who used specific emboli subject line.,0
email where tenders email address domain common one like email yakov.,0
find email senders who have sent email 3 different days.,0
show email sent first day month year.,0
find email received vacation last month.,0
search email sent two specific times day.,0
email older year newer 18 months.,0
find email last leap year.,0
show email sent specific day week specific month.,0
search email received public holiday.,0
email sent day birthday.,0
find email beginning current decade.,0
show email received within last hour.,0
search email sent friday with.,0
email received specific historical event e.g. 2024 olympics.,0
find email sent specific date past monday.,0
show email received day specific anniversary.,0
search email sent within specific time range excluding weekend.,0
email first week year.,0
find email sent day specific movie released.,0
show email received day specific news event occurred.,0
search email sent within specific month weekdays.,0
email quarter year.,0
find email sent longest day year.,0
show email received specific date traveling day.,0
search email sent within specific week excluding email specific tender.,0
email specific time period contain specific eyford.,0
find email sent day specific astronomical event e.g. full moon.,0
search email containing specific phrase quotes.,0
email subject line starts specific word.,0
find email where email body contains curl.,0
show email subject line containing 5 words.,0
search email containing specific hashtag.,0
email subject line question.,0
find email where email body contains specific code snipped.,0
show email subject line containing specific emboli.,0
search email containing specific phone number.,0
email subject line capital letters.,0
find email where email body mentions specific company name.,0
show email subject line includes number.,0
search email containing specific file extension e.g. .zip.,0
email subject line palindrome.,0
find email where email body contains specific address.,0
